test,sample,mle_full_stat,mle_full_p,mle_full_n,mle_57_stat,mle_57_p,mle_57_n,hb_stat,hb_p,hb_n,verdict
"H1.1.1  sham alpha -> p(shift|lose) | cog, age, edu",H1,0.22310529613909955,0.0004861272472230249,56,0.20823981721592505,0.002530214642400405,52,0.2648684190808274,0.00028027133032832715,52,same
H1.1.2  cognition x age -> sham alpha | edu,H1,0.005066714121041704,0.21476203156197593,56,0.004139947331705212,0.31011508422030315,52,0.007065268130546018,0.05793736637438649,52,trend in one only
H1      age x sham alpha (r),H1,0.10162179582544949,0.43580750525411405,61,0.14175158104497743,0.29288507808985925,57,0.04384744232190311,0.7460420119084208,57,same
H2.1    active vs sham alpha (dz),H2,0.04040651655695405,0.7614495233627973,57,0.04040651655695405,0.7614495233627973,57,0.18471925682147342,0.1686444540790275,57,same
H2.2    age x delta alpha (r),H2,-0.25688462346776314,0.053733885072159884,57,-0.25688462346776314,0.053733885072159884,57,-0.031061230455893783,0.8185836566683,57,trend in one only
theta   theta_p95 x delta alpha (r),H2,-0.07547075722193844,0.5911978589187217,53,-0.07547075722193844,0.5911978589187217,53,-0.1402479249507854,0.31651975502614704,53,same
field   |E| x delta alpha (r),Dose_H2,0.17989928544866324,0.21125045108634888,50,0.17989928544866324,0.21125045108634888,50,0.11397274396059151,0.43063923414551797,50,same
"H1.1.1  sham beta -> p(shift|lose) | cog, age, edu",H1,-0.004775328169768625,0.0891507045081563,56,-0.0033023342390973466,0.3692894996004284,52,-0.027887049500189193,0.12136864361993843,52,trend in one only
H1.1.2  cognition x age -> sham beta | edu,H1,-0.08798453176324057,0.36734139431497204,56,-0.06673847228064343,0.4044571321631305,52,-0.019584268770989524,0.22525486708477482,52,same
H1      age x sham beta (r),H1,0.19478368405957774,0.1325077356217542,61,0.12324401975727765,0.36106046448539436,57,0.04452138488719708,0.7422725463679102,57,same
H2.1    active vs sham beta (dz),H2,0.06749472153640027,0.6123523102893648,57,0.06749472153640027,0.6123523102893648,57,-0.15361477578757662,0.2510650326147375,57,same
H2.2    age x delta beta (r),H2,0.19394658241116294,0.1482919841011836,57,0.19394658241116294,0.1482919841011836,57,0.10366508300210177,0.4428522091524363,57,same
theta   theta_p95 x delta beta (r),H2,0.04473413476603202,0.7504371311583766,53,0.04473413476603202,0.7504371311583766,53,0.12952621736653935,0.3552874959479061,53,same
field   |E| x delta beta (r),Dose_H2,-0.09616323561153145,0.5064852769076756,50,-0.09616323561153145,0.5064852769076756,50,0.12727259835352922,0.37843679244981243,50,same
